rownames,year,species,species_latin,count,hours,count_per_hour,count_per_week,species_binary
1,1921,American Bittern,Botaurus lentiginosus,0,8.0,0.0,0.0,American Crow
2,1921,American Black Duck,Anas rubripes,0,8.0,0.0,0.0,American Crow
3,1921,American Coot,Fulica americana,0,8.0,0.0,0.0,American Coot
4,1921,American Crow,Corvus brachyrhynchos,0,8.0,0.0,0.0,American Crow
5,1921,American Goldfinch,Spinus tristis,0,8.0,0.0,0.0,American Crow
6,1921,American Kestrel,Falco sparverius,0,8.0,0.0,0.0,American Crow
7,1921,American Pipit,Anthus rubescens,0,8.0,0.0,0.0,American Crow
8,1921,American Robin,Turdus migratorius,1,8.0,0.125,21.0,American Crow
9,1921,American Three-toed Woodpecker,Picoides dorsalis,0,8.0,0.0,0.0,American Crow
10,1921,American Tree Sparrow,Spizelloides arborea,12,8.0,1.5,252.0,American Crow
11,1921,American Wigeon,Anas americana,0,8.0,0.0,0.0,American Crow
12,1921,American Woodcock,Scolopax minor,0,8.0,0.0,0.0,American Crow
13,1921,Bald Eagle,Haliaeetus leucocephalus,0,8.0,0.0,0.0,American Crow
14,1921,Baltimore Oriole,Icterus galbula,0,8.0,0.0,0.0,American Crow
15,1921,Barn Owl,Tyto alba,0,8.0,0.0,0.0,American Crow
16,1921,Barn Swallow,Hirundo rustica,0,8.0,0.0,0.0,American Crow
17,1921,Barred Owl,Strix varia,0,8.0,0.0,0.0,American Crow
18,1921,Barrow's Goldeneye,Bucephala islandica,0,8.0,0.0,0.0,American Crow
19,1921,Belted Kingfisher,Megaceryle alcyon,0,8.0,0.0,0.0,American Crow
20,1921,Black-and-white Warbler,Mniotilta varia,0,8.0,0.0,0.0,American Crow
21,1921,Black-backed Woodpecker,Picoides arcticus,0,8.0,0.0,0.0,American Crow
22,1921,Black-capped Chickadee,Poecile atricapillus,9,8.0,1.125,189.0,American Crow
23,1921,Black-crowned Night-Heron,Nycticorax nycticorax,0,8.0,0.0,0.0,American Crow
24,1921,Black-headed Grosbeak,Pheucticus melanocephalus,0,8.0,0.0,0.0,American Crow
25,1921,Black-legged Kittiwake,Rissa tridactyla,0,8.0,0.0,0.0,American Crow
26,1921,Black-throated Gray Warbler,Setophaga nigrescens,0,8.0,0.0,0.0,American Crow
27,1921,Black Scoter,Melanitta americana,0,8.0,0.0,0.0,American Crow
28,1921,Black Vulture,Coragyps atratus,0,8.0,0.0,0.0,American Crow
29,1921,Blue-gray Gnatcatcher,Polioptila caerulea,0,8.0,0.0,0.0,American Crow
30,1921,Blue-winged Teal,Anas discors,0,8.0,0.0,0.0,American Crow
31,1921,Blue Jay,Cyanocitta cristata,3,8.0,0.375,63.0,American Crow
32,1921,Bohemian Waxwing,Bombycilla garrulus,0,8.0,0.0,0.0,American Crow
33,1921,Bonaparte's Gull,Chroicocephalus philadelphia,0,8.0,0.0,0.0,American Crow
34,1921,Boreal Chickadee,Poecile hudsonicus,0,8.0,0.0,0.0,American Crow
35,1921,Boreal Owl,Aegolius funereus,0,8.0,0.0,0.0,American Crow
36,1921,Brant,Branta bernicla,0,8.0,0.0,0.0,American Crow
37,1921,Brown-headed Cowbird,Molothrus ater,0,8.0,0.0,0.0,American Crow
38,1921,Brown Creeper,Certhia americana,1,8.0,0.125,21.0,American Crow
39,1921,Brown Thrasher,Toxostoma rufum,0,8.0,0.0,0.0,American Crow
40,1921,Bufflehead,Bucephala albeola,0,8.0,0.0,0.0,American Crow
