transaction_id,customer_id,age,income,transaction_amount,transaction_type,merchant_category,credit_score,account_balance,is_fraud
T00000,C0103,20,128069,4371.48,Online Purchase,Travel,394,34469.5,1
T00001,C0436,54,116019,1021.17,Bank Transfer,Dining,844,33582.67,0
T00002,C0349,60,81944,641.3,Online Purchase,Utilities,445,8093.8,0
T00003,C0271,57,138428,1431.12,Bank Transfer,Groceries,530,488.42,0
T00004,C0107,43,98002,2660.23,ATM Withdrawal,Dining,794,37673.78,0
T00005,C0072,40,48803,2555.26,POS Swipe,Utilities,337,5407.77,0
T00006,C0189,61,38230,4103.89,POS Swipe,Travel,724,4209.22,0
T00007,C0021,56,37862,2025.82,Online Purchase,Fashion,736,234.79,0
T00008,C0103,32,63355,2424.3,ATM Withdrawal,Fashion,667,21686.81,0
T00009,C0122,66,51259,71.77,POS Swipe,Groceries,644,25212.87,0
T00010,C0467,21,119075,2051.65,Bank Transfer,Fashion,459,31919.44,0
T00011,C0215,46,107445,3240.63,POS Swipe,Utilities,849,14873.59,0
T00012,C0331,39,50795,82.46,Online Purchase,Groceries,840,35550.19,0
T00013,C0459,42,134604,1408.01,Online Purchase,Dining,443,8549.66,0
T00014,C0088,30,28770,1043.74,ATM Withdrawal,Travel,644,41616.3,0
T00015,C0373,35,31093,214.72,Online Purchase,Groceries,568,28635.23,0
T00016,C0100,50,66571,2398.9,POS Swipe,Dining,567,29236.1,0
T00017,C0360,33,20193,912.71,POS Swipe,Groceries,468,10567.79,0
T00018,C0152,62,120311,3716.69,POS Swipe,Electronics,332,3798.03,1
T00019,C0131,59,37569,4240.4,POS Swipe,Electronics,676,23289.77,0
T00020,C0150,61,137082,2730.2,ATM Withdrawal,Groceries,513,30819.04,0
T00021,C0309,19,31190,4908.63,Bank Transfer,Fashion,739,4842.82,0
T00022,C0258,52,82824,2255.14,Bank Transfer,Electronics,791,47531.67,0
T00023,C0344,59,62752,2569.27,ATM Withdrawal,Travel,692,49022.68,0
T00024,C0492,51,52327,4946.14,Online Purchase,Dining,788,27318.29,0
T00025,C0414,47,62070,1161.58,Bank Transfer,Utilities,328,47508.45,0
